Code.Pays,Nom.Pays,Surface_forestiere_km2,nbr_touristes,Depense_tourisme,CO2.en.t,PIB_en_M,Superficie,Population,industrie_en_pourcentage,pourcentage_tourisme,pourcentage_foret,emissions_par_hab,PIB_par_habitant
PRT,Portugal,33120,11723000,4576000000,49849998.47,199394.07,92225.6,10358076,19.46,2.294952904065803,35.9119376832463,4.812669695607562,19250.10687312972
PRY,Paraguay,174989.4,4102000,494000000,6369999.886,36211.37,406752,6177950,34.25,1.3642124006907224,43.02115293839981,1.0310863451468528,5861.389295802006
QAT,Qatar,0,2941000,11641000000,84779998.78,161739.96,11490,2414573,57.44,7.197355557649451,0,35.11179772986777,66984.91203206529
ROU,Roumanie,69009.6,9331000,2526000000,73319999.69,177883.9,238400,19815616,30.81,1.420027332434245,28.946979865771816,3.700112057581253,8976.955346732597
RUS,Federation de Russie,8149304.6,33729000,38432000000,1592560059,1363482.18,17098250,144096870,29.79,2.8186653675224416,47.661629698945795,11.052010074889205,9462.260908234855
RWA,Rwanda,2700,1298000,350000000,980000.0191,8543.87,26340,11642959,17.45,4.09650427733568,10.250569476082005,0.08417104441405317,733.822905328448
SAS,Asie du Sud,886592.9,20005026,24480000000,2429980027,2704835.94,5135334,1775545180,26.37,0.9050456494599816,17.264561565031602,1.3685824806778502,1523.383336266329
SAU,Arabie saoudite,9770,21834000,20366000000,565190002.4,669484.38,2149690,32749848,44.64,3.042042594033336,0.4544841349217794,17.25779009417082,20442.366022584287
SDN,Soudan,192099.3,741000,195000000,18709999.08,84984.67,1878000,38171178,16.07,0.2294531472558521,10.228929712460063,0.49016037912165034,2226.409412882149
SEN,Senegal,82681.6,1014000,261000000,9289999.962,17774.77,196710,14356181,23.6,1.4683734304297609,42.032230186569066,0.6471080269885146,1238.1266299164101
SGP,Singapour,164.714,15231500,23658000000,45430000.31,307998.55,719,5535002,24.29,7.681204992685842,22.90876216968011,8.20776583459229,55645.60771613091
SLB,iles Salomon,25266.2,21600,60700000,310000.0024,1307.91,28900,612660,15.55,4.6409921171946085,87.42629757785467,0.5059902758463095,2134.8056018019784
SLE,Sierra Leone,26335.3,31000,34000000,910000.0262,4252.03,72300,7314773,4.43,0.7996180647831742,36.42503457814661,0.12440577803302987,581.29350015373
SLV,El Salvador,6063.8,1973000,332000000,7000000,23438.24,21040,6231066,25.29,1.4164886100662848,28.820342205323197,1.1234032828411704,3761.513680002748
SRB,Serbie,27195.3,1132000,1254000000,45389999.39,39655.95,88360,7095383,25.8,3.1621988629701216,30.77784065187868,6.397117589001186,5588.979481445892
SUR,Suriname,152516.7,229000,128000000,2720000.029,5126.24,163820,575475,27.26,2.4969568338587345,93.10017091930169,4.72653030800643,8907.84134845128
SVK,Republique slovaque,19217.5,14936000,2266000000,30750000,88900.88,49030,5423801,30.57,2.5489061525600194,39.195390577197635,5.6694557930868035,16390.881597610238
SVN,Slovenie,12480,3022000,1370000000,13140000.34,43107.51,20675,2063531,28.03,3.1781005212316833,60.3627569528416,6.367726164520911,20890.168357054
SWZ,Eswatini,4915,1256000,64000000,769999.9809,4063.25,17360,1133936,35.73,1.5750938288316,28.312211981566822,0.6790506526823383,3583.315107730948
SYC,Seychelles,337,296000,54000000,509999.9905,1391.43,460,93419,14.18,3.8808995062633405,73.26086956521739,5.459274778150055,14894.507541292456
TGO,Togo,12240.7,273000,53000000,1830000.043,5681.47,56790,7473229,19.69,0.9328571654871011,21.554322944180313,0.24487407558366003,760.2429953638514
